09180112;Bad Kohlgrub;;; ;;;;;
;;09173;Bad Tölz-Wolfratshausen;195;66;129;188;7;9
;;09180112;Bad Kohlgrub;137;55;82;130;7;4
;;09180113;Bad Bayersoien;29;11;18;X;X;4
;;09180114;Eschenlohe;89;43;46;83;6;3
;;09180115;Ettal;17;8;9;X;X;X
;;09180116;Farchant;60;32;28;54;6;5
;;09180117;Garmisch-Partenkirchen, Markt;267;173;94;215;52;13
;;09180118;Grainau;30;18;12;27;3;X
;;09180119;Großweil;93;30;63;X;X;3
;;09180123;Mittenwald, Markt;28;20;8;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;1.948;747;1.201;1.682;266;82
;;09180125;Oberammergau;94;51;43;90;4;6
;;09180126;Oberau;83;40;43;71;12;3
;;09180127;Ohlstadt;277;104;173;267;10;13
;;09180128;Riegsee;118;54;64;113;5;10
;;09180129;Saulgrub;69;25;44;X;X;4
;;09180131;Schwaigen;52;18;34;X;X;4
;;09180132;Seehausen a.Staffelsee;256;106;150;220;36;11
;;09180133;Spatzenhausen;76;28;48;X;X;4
;;09180134;Uffing a.Staffelsee;175;61;114;169;6;10
;;09180135;Unterammergau;51;19;32;X;X;4
;;09180136;Wallgau;10;5;5;X;X;X
;;09180;Übrige Gemeinden (Kreis);9;4;5;X;X;X
;;09180;Garmisch-Partenkirchen;3.968;1.652;2.316;3.545;423;185
;;09181;Landsberg am Lech;23;7;16;X;X;X
;;09182;Miesbach;10;3;7;X;X;X
;;09184;München;19;7;12;X;X;X
;;09188;Starnberg;33;13;20;X;X;X
;;09190113;Antdorf;14;4;10;X;X;X
;;09190117;Böbing;29;9;20;X;X;4
;;09190120;Eberfing;14;3;11;X;X;X
;;09190121;Eglfing;60;14;46;X;X;6
;;09190126;Habach;27;12;15;X;X;X
;;09190130;Hohenpeißenberg;21;9;12;X;X;X
;;09190131;Huglfing;86;23;63;X;X;3
;;09190132;Iffeldorf;13;4;9;X;X;X
;;09190135;Oberhausen;45;11;34;X;X;3
;;09190136;Obersöchering;77;23;54;X;X;4
;;09190138;Pähl;10;3;7;X;X;X
;;09190139;Peißenberg, Markt;113;46;67;108;5;9
;;09190140;Peiting, Markt;36;14;22;X;X;X
;;09190141;Penzberg, Stadt;64;24;40;54;10;3
;;09190142;Polling;32;12;20;X;X;3
;;09190145;Rottenbuch;14;X;X;X;X;X
;;09190148;Schongau, Stadt;20;7;13;X;X;X
;;09190153;Sindelsdorf;17;7;10;X;X;X
;;09190157;Weilheim i.OB, Stadt;118;44;74;107;11;7
;;09190158;Wessobrunn;10;4;6;X;X;X
;;09190159;Wielenbach;16;8;8;X;X;X
;;09190160;Wildsteig;18;X;X;X;X;X
;;09190;Übrige Gemeinden (Kreis);31;13;18;X;X;X
;;09190;Weilheim-Schongau;885;298;587;846;39;56
;;091;Übrige Kreise (Regierungsbezirk);25;14;11;22;3;X
;;091;Oberbayern;5.250;2.102;3.148;4.763;487;253
;;09777;Ostallgäu;14;5;9;X;X;X
;;097;Übrige Kreise (Regierungsbezirk);20;10;10;X;X;X
;;097;Schwaben;34;15;19;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);27;14;13;X;X;X
;;09;Bayern;5.311;2.131;3.180;4.821;490;256
;;ZZ;Übrige (Bundes)Länder;49;32;17;41;8;X
;;ZZ;BUNDESGEBIET;5.373;2.167;3.206;4.883;490;258
;;ZZ;INSGESAMT;5.383;2.176;3.207;4.885;498;258
