;;09184138;Planegg;14;8;6;X;X;X
;;09184147;Unterföhring;11;6;5;X;X;X
;;09184;Übrige Gemeinden (Kreis);68;51;17;58;10;X
;;09184;München;93;65;28;80;13;X
;;09188113;Berg;11;4;7;X;X;X
;;09188139;Starnberg, Stadt;14;8;6;11;3;X
;;09188;Übrige Gemeinden (Kreis);28;15;13;X;X;X
;;09188;Starnberg;53;27;26;47;6;X
;;09190140;Peiting, Markt;16;5;11;X;X;X
;;09190141;Penzberg, Stadt;86;56;30;72;14;5
;;09190148;Schongau, Stadt;16;X;X;11;5;X
;;09190157;Weilheim i.OB, Stadt;72;49;23;68;4;7
;;09190;Übrige Gemeinden (Kreis);44;28;16;40;4;5
;;09190;Weilheim-Schongau;234;153;81;207;27;18
;;091;Übrige Kreise (Regierungsbezirk);65;45;20;60;5;4
;;091;Oberbayern;8.347;3.899;4.448;7.020;1.327;418
;;092;Niederbayern;10;X;X;7;3;X
;;094;Oberfranken;10;3;7;X;X;X
;;095;Mittelfranken;13;8;5;X;X;X
;;09761000;Augsburg;21;14;7;9;12;X
;;09761;Augsburg, Stadt;21;14;7;9;12;X
;;09763000;Kempten (Allgäu);20;9;11;X;X;X
;;09763;Kempten (Allgäu), Stadt;20;9;11;X;X;X
;;09764000;Memmingen;10;X;X;4;6;X
;;09764;Memmingen, Stadt;10;X;X;4;6;X
;;097;Übrige Kreise (Regierungsbezirk);23;11;12;X;X;X
;;097;Schwaben;74;43;31;54;20;4
;;09;Übrige Regierungsbezirke (Bundesland);15;X;X;X;X;X
;;09;Bayern;8.469;3.974;4.495;7.114;1.355;422
;;11000000;Berlin, Stadt;21;4;17;X;X;8
;;11000;Berlin, Stadt;21;4;17;X;X;8
;;110;Berlin;21;4;17;X;X;8
;;11;Berlin;21;4;17;X;X;8
;;ZZ;Übrige Bundesländer;29;19;10;X;X;X
;;ZZ;BUNDESGEBIET;8.785;4.176;4.609;7.382;1.403;434
;;ZZ;INSGESAMT;8.785;4.176;4.609;7.382;1.403;434
;;ZZ;Darunter: AUSPENDLER;2.743;1.602;1.141;2.354;389;145
;;ZZ;  davon: in die ABL;2.700;1.583;1.117;2.312;388;137
;;ZZ;  davon: in die NBL;43;19;24;X;X;8
09180118;Grainau;;; ;;;;;
;;064;Reg.-Bez. Darmstadt;12;8;4;X;X;X
;;06;Hessen;12;8;4;X;X;X
;;09162000;München, Landeshauptstadt;39;21;18;33;6;X
;;09162;München, Landeshauptstadt;39;21;18;33;6;X
;;09180116;Farchant;25;11;14;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;571;295;276;540;31;34
;;09180118;Grainau;350;175;175;262;88;19
;;09180124;Murnau a.Staffelsee, Markt;30;18;12;27;3;X
;;09180126;Oberau;20;14;6;X;X;X
;;09180;Übrige Gemeinden (Kreis);40;25;15;X;X;X
;;09180;Garmisch-Partenkirchen;1.036;538;498;913;123;57
;;09190141;Penzberg, Stadt;10;X;X;X;X;X
;;09190;Übrige Gemeinden (Kreis);14;7;7;X;X;X
;;09190;Weilheim-Schongau;24;15;9;X;X;3
;;091;Übrige Kreise (Regierungsbezirk);33;26;7;29;4;X
;;091;Oberbayern;1.132;600;532;998;134;64
;;09;Übrige Regierungsbezirke (Bundesland);12;9;3;X;X;X
;;09;Bayern;1.144;609;535;1.010;134;64
;;ZZ;Übrige Bundesländer;26;14;12;X;X;X
;;ZZ;BUNDESGEBIET;1.182;631;551;1.047;135;66
;;ZZ;INSGESAMT;1.182;631;551;1.047;135;66
;;ZZ;Darunter: AUSPENDLER;832;456;376;785;47;47
;;ZZ;  davon: in die ABL;824;453;371;777;47;47
;;ZZ;  davon: in die NBL;8;3;5;X;X;X
09180119;Großweil;;; ;;;;;
;;09162000;München, Landeshauptstadt;58;29;29;X;X;X
;;09162;München, Landeshauptstadt;58;29;29;X;X;X
;;09173133;Kochel a.See;46;28;18;X;X;5
;;09173142;Schlehdorf;10;X;X;X;X;X
;;09173;Übrige Gemeinden (Kreis);44;21;23;X;X;X
;;09173;Bad Tölz-Wolfratshausen;100;51;49;96;4;8
;;09180117;Garmisch-Partenkirchen, Markt;20;10;10;X;X;X
;;09180119;Großweil;51;26;25;48;3;X
;;09180124;Murnau a.Staffelsee, Markt;93;30;63;X;X;3
;;09180127;Ohlstadt;16;5;11;X;X;X
;;09180;Übrige Gemeinden (Kreis);32;14;18;X;X;3
;;09180;Garmisch-Partenkirchen;212;85;127;207;5;9
;;09184;München;18;12;6;X;X;X
;;09185149;Neuburg a.d.Donau, Stadt;11;X;X;X;X;X
;;09185;Neuburg-Schrobenhausen;11;X;X;X;X;X
;;09188139;Starnberg, Stadt;15;11;4;X;X;X
;;09188;Übrige Gemeinden (Kreis);9;3;6;X;X;X
;;09188;Starnberg;24;14;10;X;X;X
;;09190141;Penzberg, Stadt;107;56;51;103;4;6
;;09190157;Weilheim i.OB, Stadt;23;13;10;X;X;3
;;09190;Übrige Gemeinden (Kreis);39;28;11;X;X;6
;;09190;Weilheim-Schongau;169;97;72;164;5;15
;;091;Übrige Kreise (Regierungsbezirk);12;X;X;X;X;X
;;091;Oberbayern;604;309;295;588;16;36
;;09;Übrige Regierungsbezirke (Bundesland);7;4;3;X;X;X
;;09;Bayern;611;313;298;595;16;36
;;ZZ;Übrige Bundesländer;11;X;X;X;X;X
;;ZZ;BUNDESGEBIET;622;322;300;606;16;36
;;ZZ;INSGESAMT;622;322;300;606;16;36
;;ZZ;Darunter: AUSPENDLER;571;296;275;558;13;34
;;ZZ;  davon: in die ABL;571;296;275;558;13;34
09180122;Krün;;; ;;;;;
;;09162000;München, Landeshauptstadt;29;17;12;X;X;X
;;09162;München, Landeshauptstadt;29;17;12;X;X;X
;;09173133;Kochel a.See;14;X;X;10;4;X
;;09173;Übrige Gemeinden (Kreis);15;9;6;X;X;X
;;09173;Bad Tölz-Wolfratshausen;29;21;8;25;4;X
;;09180117;Garmisch-Partenkirchen, Markt;165;78;87;158;7;17
;;09180122;Krün;224;113;111;167;57;21
;;09180123;Mittenwald, Markt;61;37;24;X;X;4
;;09180136;Wallgau;28;21;7;X;X;X
;;09180;Übrige Gemeinden (Kreis);32;15;17;X;X;X
;;09180;Garmisch-Partenkirchen;510;264;246;441;69;45
;;091;Übrige Kreise (Regierungsbezirk);31;22;9;X;X;X
;;091;Oberbayern;599;324;275;526;73;49
;;09;Übrige Regierungsbezirke (Bundesland);8;4;4;X;X;X
;;09;Bayern;607;328;279;534;73;50
;;ZZ;Übrige Bundesländer;19;10;9;X;X;X
;;ZZ;BUNDESGEBIET;626;338;288;551;75;51
;;ZZ;INSGESAMT;626;338;288;551;75;51
;;ZZ;Darunter: AUSPENDLER;402;225;177;384;18;30
;;ZZ;  davon: in die ABL;397;221;176;380;17;29
;;ZZ;  davon: in die NBL;5;X;X;X;X;X
09180123;Mittenwald, Markt;;; ;;;;;
;;064;Reg.-Bez. Darmstadt;15;12;3;X;X;X
;;06;Übrige Regierungsbezirke (Bundesland);X;X;X;X;X;X
;;06;Hessen;16;13;3;X;X;X
;;08;Baden-Württemberg;17;9;8;X;X;X
;;09162000;München, Landeshauptstadt;73;47;26;70;3;8
